subject,task,video_count,fb_surge_r,fb_surge_l,fb_zip_r,fb_zip_l,jb_up2_r,jb_up2_l,jb_move_r,jb_move_l
1,1,225,219,210,224,224,218,227,223,224
1,2,270,273,271,271,270,273,271,267,269
1,3,58,34,43,42,39,14,27,32,30
1,4,49,43,44,49,48,76,75,38,37
2,1,221,217,221,221,221,217,215,223,220
2,2,238,233,236,241,240,237,269,242,240
2,3,66,72,52,69,72,37,73,99,0
2,4,65,53,56,56,54,53,14,45,43
3,1,266,282,243,268,266,219,228,265,263
3,2,295,195,284,295,295,206,263,287,289
3,3,61,42,52,48,53,41,23,40,34
3,4,52,34,47,40,65,37,37,37,45
4,1,208,239,204,285,206,235,419,202,204
4,2,233,279,232,232,233,243,354,228,227
4,3,59,44,46,47,47,36,70,0,13
4,4,50,81,49,50,50,41,112,40,41
5,1,225,196,177,226,225,227,225,222,217
5,2,267,187,33,267,268,252,230,263,264
5,3,63,49,59,57,60,32,37,27,13
5,4,42,40,37,44,42,42,42,38,44
6,1,217,200,213,216,217,186,197,214,210
6,2,285,270,264,279,279,250,230,268,270
6,3,76,20,7,43,57,16,19,35,16
6,4,56,53,49,55,55,55,53,61,43
7,1,251,214,249,251,253,240,244,250,249
7,2,266,260,264,267,269,7,251,265,262
7,3,82,39,49,50,59,10,30,25,34
7,4,59,66,69,161,56,49,64,54,53
8,1,221,210,205,219,219,208,201,217,214
8,2,247,218,207,247,247,246,239,244,242
8,3,58,30,28,48,49,21,20,18,19
8,4,44,44,41,44,44,31,38,31,42
9,1,237,226,234,248,237,234,252,237,238
9,2,265,221,264,254,264,248,262,263,265
9,3,68,43,58,60,62,29,43,44,12
9,4,52,43,49,49,51,47,47,46,49
10,1,235,235,210,236,237,228,236,234,235
10,2,277,269,256,577,577,273,266,277,275
10,3,78,12,27,56,42,48,34,11,11
10,4,51,54,45,54,45,55,56,42,33
11,1,242,241,236,243,242,236,233,238,239
11,2,288,284,241,285,281,278,231,280,280
11,3,71,28,43,55,17,23,49,16,23
11,4,53,49,52,52,53,29,48,53,50
12,1,228,231,251,282,232,223,232,232,227
12,2,256,200,260,258,257,238,258,255,257
12,3,63,46,65,50,52,31,43,22,12
12,4,45,43,42,44,46,39,45,40,35
13,1,223,216,220,223,223,202,216,222,225
13,2,257,216,220,223,223,242,362,247,249
13,3,78,42,27,58,52,30,26,29,0
13,4,64,62,54,54,39,68,48,65,16
14,1,240,230,151,239,237,233,180,237,231
14,2,266,266,165,265,266,250,0,266,265
14,3,100,58,47,68,51,56,37,47,15
14,4,77,69,54,74,64,56,66,74,63
Average,,155.1607143,139.6428571,134.1428571,159.2678571,154.1428571,133.0535714,144.0535714,142.4464286,137.0714286
Standard Deviation,,,10.97278202,14.86186931,2.904188566,0.719733688,15.63211063,7.853936034,8.990357647,12.7910566
