"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"1",10,0,0,0,0,2.2621571627982,-2.2621571627982,4.52431432559641,0,0,0,0,0,0
"2",11,0,0,0,0,2.22813885198627,-2.22813885198627,4.45627770397255,0,0,0,0,0,0
"3",12,0,0,0,0,2.20098516009164,-2.20098516009164,4.40197032018328,0,0,0,0,0,0
"4",13,0,0,0,0,2.17881282966723,-2.17881282966723,4.35762565933446,0,0,0,0,0,0
"5",14,0,0,0,0,2.16036865646279,-2.16036865646279,4.32073731292558,0,0,0,0,0,0
"6",15,0,0,0,0,2.1447866879178,-2.1447866879178,4.28957337583561,0,0,0,0,0,0
"7",16,0,0,0,0,2.13144954555978,-2.13144954555978,4.26289909111955,0,0,0,0,0,0
"8",17,0,0,0,0,2.11990529922125,-2.11990529922125,4.23981059844251,0,0,0,0,0,0
"9",18,0,0,0,0,2.10981557783332,-2.10981557783332,4.21963115566663,0,0,0,0,0,0
"10",19,0,0,0,0,2.10092204024104,-2.10092204024104,4.20184408048208,0,0,0,0,0,0
"11",20,0,0,0,0,2.09302405440831,-2.09302405440831,4.18604810881662,0,0,0,0,0,0
"12",21,0,0,0,0,2.08596344726586,-2.08596344726586,4.17192689453173,0,0,0,0,0,0
"13",22,0,0,0,0,2.07961384472768,-2.07961384472768,4.15922768945536,0,0,0,0,0,0
"14",23,0,0,0,0,2.07387306790403,-2.07387306790403,4.14774613580805,0,0,0,0,0,0
"15",24,0,0,0,0,2.06865761041905,-2.06865761041905,4.1373152208381,0,0,0,0,0,0
"16",25,0,0,0,0,2.06389856162803,-2.06389856162803,4.12779712325605,0,0,0,0,0,0
"17",26,0,0,0,0,2.0595385527533,-2.0595385527533,4.1190771055066,0,0,0,0,0,0
"18",27,0,0,0,0,2.05552943864287,-2.05552943864287,4.11105887728575,0,0,0,0,0,0
"19",28,0,0,0,0,2.05183051648029,-2.05183051648029,4.10366103296057,0,0,0,0,0,0
"20",29,0,0,0,0,2.04840714179524,-2.04840714179524,4.09681428359049,0,0,0,0,0,0
"21",30,0,0,0,0,2.0452296421327,-2.0452296421327,4.09045928426541,0,0,0,0,0,0
"22",31,0,0,0,0,2.04227245630124,-2.04227245630124,4.08454491260248,0,0,0,0,0,0
"23",32,0,0,0,0,2.03951344639641,-2.03951344639641,4.07902689279282,0,0,0,0,0,0
"24",33,0,0,0,0,2.0369333434601,-2.0369333434601,4.0738666869202,0,0,0,0,0,0
"25",34,0,0,0,0,2.03451529744934,-2.03451529744934,4.06903059489868,0,0,0,0,0,0
"26",35,0,0,0,0,2.03224450931772,-2.03224450931772,4.06448901863544,0,0,0,0,0,0
"27",36,0,0,0,0,2.03010792825034,-2.03010792825034,4.06021585650068,0,0,0,0,0,0
"28",37,0,0,0,0,2.02809400098045,-2.02809400098045,4.0561880019609,0,0,0,0,0,0
"29",38,0,0,0,0,2.02619246302911,-2.02619246302911,4.05238492605822,0,0,0,0,0,0
"30",39,0,0,0,0,2.02439416391197,-2.02439416391197,4.04878832782394,0,0,0,0,0,0
"31",40,0,0,0,0,2.02269092003676,-2.02269092003676,4.04538184007352,0,0,0,0,0,0
"32",41,0,0,0,0,2.02107539030627,-2.02107539030627,4.04215078061255,0,0,0,0,0,0
"33",42,0,0,0,0,2.01954097044138,-2.01954097044138,4.03908194088275,0,0,0,0,0,0
"34",43,0,0,0,0,2.01808170281844,-2.01808170281844,4.03616340563689,0,0,0,0,0,0
"35",44,0,0,0,0,2.01669219922782,-2.01669219922782,4.03338439845565,0,0,0,0,0,0
"36",45,0,0,0,0,2.01536757444376,-2.01536757444376,4.03073514888753,0,0,0,0,0,0
"37",46,0,0,0,0,2.01410338888085,-2.01410338888085,4.02820677776169,0,0,0,0,0,0
"38",47,0,0,0,0,2.01289559891943,-2.01289559891943,4.02579119783886,0,0,0,0,0,0
"39",48,0,0,0,0,2.01174051372977,-2.01174051372977,4.02348102745953,0,0,0,0,0,0
"40",49,0,0,0,0,2.01063475762423,-2.01063475762423,4.02126951524846,0,0,0,0,0,0
"41",50,0,0,0,0,2.00957523712924,-2.00957523712924,4.01915047425848,0,0,0,0,0,0
"42",51,0,0,0,0,2.00855911210076,-2.00855911210076,4.01711822420152,0,0,0,0,0,0
"43",52,0,0,0,0,2.00758377031584,-2.00758377031584,4.01516754063167,0,0,0,0,0,0
"44",53,0,0,0,0,2.00664680506169,-2.00664680506169,4.01329361012338,0,0,0,0,0,0
"45",54,0,0,0,0,2.00574599531787,-2.00574599531787,4.01149199063574,0,0,0,0,0,0
